"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
redcap_id,informed_consent,,text,"REDCap ID",,,,,,,,,,,,,
informedconsent_2,informed_consent,,text,"Visit Date",,,date_mdy,,,,,,,,,,
informedconsent_3,informed_consent,,yesno,"Is the Informed Consent Signed by Patient?",,,,,,,,,,,,,
informedconsent_4,informed_consent,,yesno,"Is the Informed Consent Signed by Investigator?",,,,,,,,,,,,,
informedconsent_5,informed_consent,,yesno,"Were All Informed Consent Pages Initialed?",,,,,,,,,,,,,
curr_visit_date,visit_date,,text,"Current Visit Date",,,date_mdy,,,,,y,,,,,
first_visit_date,visit_date,,text,"First Visit Date",,,date_mdy,,,,,,,,,,
followup_dur,visit_date,,calc,"Duration of Follow-Up (days)","datediff([curr_visit_date], [first_visit_date], ""d"", 'mdy')",,,,,,,y,,,,,
inc_exc_1,inclusionexclusion,,checkbox,"Inclusion Criteria","1, Diagnosis of Parkinson's disease by UK Brain Bank criteria | 2, Age 40-90 years | 3, English as primary language",,,,,,,,,,,,
inc_exc_2,inclusionexclusion,,checkbox,"Exclusion Criteria","1, Active or severe depression | 2, Atypical or secondary parkinsonism (i.e. MSA, PSP, CBD, LBD, vascular parkinsonism) | 3, Co-morbid neurologic conditions (i.e. MS, epilepsy, major TBI)",,,,,,,,,,,,
inc_exc_3,inclusionexclusion,,yesno,"Patient eligible?",,,,,,,,,,,,,
inc_exc_4,inclusionexclusion,,notes,Notes,,,,,,,,,,,,,
demo_dob,demographics,,text,"1. Date of Birth",,,date_mdy,,,y,,,,,,,
demo_age,demographics,,text,"Age (years)",,,,,,,,,,,,,
demo_sex,demographics,,radio,"2. Sex/Gender","0, Female | 1, Male",,,,,,,,,,,,
demo_race,demographics,,checkbox,"3. Race/Ethnicity","1, 1 American Native/Indian | 2, 2 Asian | 3, 3 Black/African-American | 4, 4 Caucasian | 5, 5 Hawaiian or Pacific Islander | 6, 6 Hispanic | 7, 7 Other or Mixed",,,,,,,,,,,,
demo_race_other,demographics,,text,"If other, please describe:",,,,,,,,,,,,,
demo_educ,demographics,,radio,"4. Years of education","0, 1 None - no formal schooling | 1, 2 Grade 1-11 | 2, 3 Grade 12, but no diploma | 3, 4 High school diploma | 4, 5 GED or other alternative credential | 5, 6 Some college, but no degree | 6, 7 Associate's degree | 7, 8 Bachelor's degree | 8, 9 More than 4-year college degree",,,,,,,,,,,,
demo_edunum,demographics,,text,"Total years of education",,,number,,,,,,,,,,
demo_employ,demographics,,radio,"5. Employment Status","0, Employed | 1, Unemployed | 2, Retired",,,,,,,,,,,,
demo_handed,demographics,,radio,"6. Handedness","0, Ambidextrous | 1, Left | 2, Right",,,,,,,,,,,,
demo_disdur,demographics,,text,"7. Disease Duration (in years)",,,number,,,,,,,,,,
meds_dbs,baseline_meds,,radio,DBS?,"0, No | 1, Yes",,,,,,,,,,,,
meds_1,baseline_meds,,text,"1. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_4,baseline_meds,,text,"2. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_5,baseline_meds,,text,"3. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_6,baseline_meds,,text,"4. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_7,baseline_meds,,text,"5. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
